賣地/招標,賣地方式,地點, 用途, 面积/平方米,地价/百万元
2011 年 12 月 8 日,招標,新界青衣青衣西,加油站,1 487,233.07
2011 年 12 月 22 日,招標,九龍紅磡紅鸞道,酒店,15 623,2 328
2011 年 12 月 22 日,招標,新界大嶼山梅窩,住宅及商業,2 260,55
2012 年 1 月 12 日,招標,新 界 將 軍 澳 第,住宅(乙類),8 246,1 860
2012 年 2 月 9 日,招標,新界屯門掃管笏,住宅(丙類),67 147,2 739
2012 年 2 月 16 日,招標,新界青衣青衣航,物流發展,24 000,1 280
2012 年 3 月 1 日,招標,新界元朗天水圍,商業,6 500,411.28
2012 年 3 月 1 日,招標,新界坪洲坪利路,住宅(丙類),4 564,19
2012 年 3 月 22 日,招標,香港鴨脷洲徑與,住宅(甲類),3 050,2 538
2012 年 3 月 22 日,招標,新界西貢碧沙路,住宅(丁類),7 615,700
2010 年 5 月 11 日,拍賣,大嶼山東涌第,住宅(乙類),26 200.00,3 420.00
2010 年 5 月 24 日,拍賣,新界粉嶺第 19,住宅(甲類),8 900.00,1 330.00
2010 年 6 月 8 日,拍賣,九龍何文田佛光,住宅(乙類),16 151.00,10 900.00
2010 年 6 月 10 日,招標,香港香港仔香港,加油站,199,315.6
2010 年 6 月 10 日,招標,九龍窩打老道,加油站,352.4,10 400.00
2010 年 7 月 28 日,拍賣,香港山頂聶歌信,住宅(丙類),23 312.00,4 100.00
2010 年 8 月 17 日,拍賣,九龍亞皆老街,住宅(乙類),7 326.00,3 510.00
2010 年 8 月 17 日,拍賣,九龍愛景街與紅,住宅(乙類),7 551.00,
2010 年 8 月 31 日,拍賣,九龍九龍塘義德,住宅(丙類),2 399.00,1 285.00
2010 年 9 月 29 日,拍賣,新界粉嶺聯和墟,住宅(甲類),2 560.00,459
2010 年 10 月 12 日,拍賣,九龍九龍塘義德,住宅(丙類),2 808.00,1 630.00
2010 年 10 月 20 日,招標,新界沙田石門安,商貿,8 533.00,816
2010 年 11 月 3 日,拍賣,九龍九龍塘延文,住宅(丙類),7 046.00,2 170.00
2010 年 12 月 14 日,招標,香港黃泥涌峽道,加油站,430.3,220.86
2010 年 12 月 14 日,招標,香港域多利道,加油站,340.1,0
2010 年 12 月 15 日,招標,新界青衣青衣航,物流發展,24 000.00,1 150.00
2011 年 3 月 7 日,招標,新界元朗元朗安,住宅(甲類),12 340.00,2 410.00
2009 年 4 月 29 日,招標,香港赤柱赤柱村,加油站,825.7,59.509
2009 年 4 月 29 日,招標,新界粉嶺安樂村,加油站,937.9,168.682
2009 年 5 月 5 日,拍賣,新界上水石湖墟,住宅/商業,305.8,61
2009 年 8 月 3 日,招標,新界屯門第 37A,加油站,525.6,0
2009 年 8 月 3 日,招標,新界大埔第 2 區,加油站,870,237.8
2009 年 12 月 28 日,拍賣,新界大埔白石角,住宅(丙類),20 925.00,5 150.000
2009 年 12 月 28 日,拍賣,新界大埔白石角,住宅(丙類),20 925.00,5 250.000
2010 年 2 月 19 日,招標,新界大埔第 22,加油站,737,131.9
2010 年 2 月 19 日,招標,新界元朗錦田路,加油站,1 300.00,37.05
2010 年 2 月 22 日,拍賣,新界將軍澳第,住宅(甲類),12 300.00,3 370.000
2008 年 4 月 22 日,招標,香港新界葵涌貨,物流發展,23 315.00,648.18
2008 年 5 月 9 日,拍賣,新界西貢白沙灣,私人住宅,191.4,16.5
2009 年 2 月 13 日,招標,新界葵涌青山公,加油站,1 040.50,148.98
2008 年 2 月 18 日,招標,新界上水新豐路,加油站,634,0
2008 年 2 月 18 日,招標,香港山頂道,加油站,375.4,0
2008 年 2 月 18 日,招標,香港山頂道,加油站,816.1,408
